rank,lead_id,name,minfile,primary_metal,metals_abbr,commodity,status,deposit_open,hard_to_stake,nearest_community,community_type,community_km,deposit_size,grade_str,tonnes_str,resource_cat,drill_highlights,exploration_spend,exploration_spend_str,n_reports,last_work_year,operators,basis,encumbrances,core_cell,n_cells,cells_area_ha,score,grade_conf,production,last_prod_year,lat,lon,cell_ids,minfile_url,capsule
496,L0496,Amethyst Cove,H08-072,Other metallic,Met-Ind,"Quartz, Zeolite, Jasper",Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met-Ind). Deposit itself unclaimed.,,-10073_10089,13,325.0,27,1.0,,,45.31897,-64.38121,-10075_10089;-10074_10088;-10074_10089;-10074_10090;-10073_10087;-10073_10088;-10073_10089;-10073_10090;-10073_10091;-10072_10088;-10072_10089;-10072_10090;-10071_10089,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=H08-072,
497,L0497,Grand Lake Fe Prospect,D13-011,Other metallic,Met,Fe,Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-9951_10008,13,325.0,27,1.0,,,44.95297,-63.59848,-9953_10008;-9952_10007;-9952_10008;-9952_10009;-9951_10006;-9951_10007;-9951_10008;-9951_10009;-9951_10010;-9950_10007;-9950_10008;-9950_10009;-9949_10008,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=D13-011,
498,L0498,Lower Sackville W (Hyland) Prospect,D13-020,Other metallic,Met,"W, As",Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-9961_9963,13,325.0,27,1.0,,,44.7538,-63.66387,-9963_9963;-9962_9962;-9962_9963;-9962_9964;-9961_9961;-9961_9962;-9961_9963;-9961_9964;-9961_9965;-9960_9962;-9960_9963;-9960_9964;-9959_9963,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=D13-020,
499,L0499,Waverly (Fall River) W Prospect,D13-021,Other metallic,Met,"W, Pb, Au, As",Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-9954_9973,13,325.0,27,1.0,,,44.79821,-63.61694,-9956_9973;-9955_9972;-9955_9973;-9955_9974;-9954_9971;-9954_9972;-9954_9973;-9954_9974;-9954_9975;-9953_9972;-9953_9973;-9953_9974;-9952_9973,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=D13-021,
500,L0500,Kehoe Hill Uranium Prospect,D13-026,Other metallic,Met,"U, Cu",Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-10004_9980,13,325.0,27,1.0,,,44.82843,-63.9393,-10006_9980;-10005_9979;-10005_9980;-10005_9981;-10004_9978;-10004_9979;-10004_9980;-10004_9981;-10004_9982;-10003_9979;-10003_9980;-10003_9981;-10002_9980,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=D13-026,
501,L0501,Ellershouse Au Prospect,D13-027,Other metallic,Met,Au,Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-10013_10006,13,325.0,27,1.0,,,44.94361,-63.99861,-10015_10006;-10014_10005;-10014_10006;-10014_10007;-10013_10004;-10013_10005;-10013_10006;-10013_10007;-10013_10008;-10012_10005;-10012_10006;-10012_10007;-10011_10006,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=D13-027,
502,L0502,Gaspereau Lake Uranium Occurrence,A15-005,Other metallic,Met,"U, Fe, F",Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-10102_10002,13,325.0,27,1.0,,,44.92696,-64.56405,-10104_10002;-10103_10001;-10103_10002;-10103_10003;-10102_10000;-10102_10001;-10102_10002;-10102_10003;-10102_10004;-10101_10001;-10101_10002;-10101_10003;-10100_10002,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=A15-005,
503,L0503,Lower Palmer Lake U Occurrence,A15-010,Other metallic,Met,U,Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-10138_9999,13,325.0,27,1.0,,,44.91274,-64.79601,-10140_9999;-10139_9998;-10139_9999;-10139_10000;-10138_9997;-10138_9998;-10138_9999;-10138_10000;-10138_10001;-10137_9998;-10137_9999;-10137_10000;-10136_9999,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=A15-010,
504,L0504,Randall Lake Uranium Occurrence,A15-011,Other metallic,Met,"U, Fe",Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-10139_9994,13,325.0,27,1.0,,,44.89214,-64.80107,-10141_9994;-10140_9993;-10140_9994;-10140_9995;-10139_9992;-10139_9993;-10139_9994;-10139_9995;-10139_9996;-10138_9993;-10138_9994;-10138_9995;-10137_9994,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=A15-011,
505,L0505,Wallaback Lake Tin Prospect (Grassy Brook Sn),A16-011,Other metallic,Met,"Sn, Cu, As, F, Ag, Zn",Prospect,True,False,,,,no tonnage on record,,,,,0.0,,0,,,Prospect (Met). Deposit itself unclaimed.,,-10079_9976,13,325.0,27,1.0,,,44.80834,-64.42154,-10081_9976;-10080_9975;-10080_9976;-10080_9977;-10079_9974;-10079_9975;-10079_9976;-10079_9977;-10079_9978;-10078_9975;-10078_9976;-10078_9977;-10077_9976,https://gesner.novascotia.ca/modb/queryView/singlereport.aspx?Occ_number=A16-011,
